charts-created,charts-created-total,charts-deleted,charts-deleted-total,code,comments-created,comments-created-total,dataset_page_url,downloads,downloads-total,embeds,embeds-total,error,fetched_url,filters-created,filters-created-total,filters-deleted,filters-deleted-total,govstat-metrics-using,govstat-metrics-using-total,govstat-total-computes,govstat-total-computes-total,id,maps-created,maps-created-total,maps-deleted,maps-deleted-total,message,visits,visits-total
,,,,,,,https://data.austintexas.gov/d/v63w-n57w,116,116,193,193,,https://data.austintexas.gov/api/views/v63w-n57w/metrics.json?start=1451606400000&end=1475539199999,1,1,8,8,,,,,v63w-n57w,,,,,,254,254
,,,,,,,https://data.austintexas.gov/d/dtkn-v97q,154,199,,0,,https://data.austintexas.gov/api/views/dtkn-v97q/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,dtkn-v97q,,3,,1,,85,254
,,,,,,,https://data.austintexas.gov/d/utnt-hag5,166,229,,0,,https://data.austintexas.gov/api/views/utnt-hag5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,utnt-hag5,,,,,,187,359
,,,,,,,https://data.austintexas.gov/d/2cgz-29c8,147,160,,0,,https://data.austintexas.gov/api/views/2cgz-29c8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,2cgz-29c8,2,3,3,3,,424,445
,,,,,,,https://data.austintexas.gov/d/wzdb-642v,160,170,,0,,https://data.austintexas.gov/api/views/wzdb-642v/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wzdb-642v,,,,,,311,348
,,,,,,,https://data.austintexas.gov/d/a2da-hhhc,212,227,,0,,https://data.austintexas.gov/api/views/a2da-hhhc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,a2da-hhhc,,1,,,,806,875
,5,,3,,,,https://data.austintexas.gov/d/vk3r-6prc,166,186,,0,,https://data.austintexas.gov/api/views/vk3r-6prc/metrics.json?start=1451606400000&end=1475539199999,,1,,1,,,,,vk3r-6prc,,,,,,138,236
,,,,,,,https://data.austintexas.gov/d/b2pc-2s8n,179,180,19,19,,https://data.austintexas.gov/api/views/b2pc-2s8n/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,b2pc-2s8n,,,,,,470,478
,,,,,,1,https://data.austintexas.gov/d/sxk7-7k6z,207,223,1,1,,https://data.austintexas.gov/api/views/sxk7-7k6z/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,sxk7-7k6z,,,,,,761,830
,,,,,,,https://data.austintexas.gov/d/67kt-ykxh,239,255,,0,,https://data.austintexas.gov/api/views/67kt-ykxh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,67kt-ykxh,,,,,,212,271
,,,,,,,https://data.austintexas.gov/d/tc36-hn4j,200,231,8,8,,https://data.austintexas.gov/api/views/tc36-hn4j/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tc36-hn4j,,7,18,19,,143,214
,,,,,,,https://data.austintexas.gov/d/54hu-zyfw,154,204,,0,,https://data.austintexas.gov/api/views/54hu-zyfw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,54hu-zyfw,,,,,,74,223
,,,,,,,https://data.austintexas.gov/d/55ji-8nqx,224,236,,0,,https://data.austintexas.gov/api/views/55ji-8nqx/metrics.json?start=1451606400000&end=1475539199999,,1,,2,,,,,55ji-8nqx,,,,,,265,314
,,,,,,,https://data.austintexas.gov/d/8ujy-upsv,238,246,18,19,,https://data.austintexas.gov/api/views/8ujy-upsv/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,8ujy-upsv,,,,,,592,633
,,,,,,,https://data.austintexas.gov/d/8qty-vat2,140,147,2,3,,https://data.austintexas.gov/api/views/8qty-vat2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8qty-vat2,,,,,,150,241
1,1,1,1,,,,https://data.austintexas.gov/d/9xdm-yhmb,185,188,1,1,,https://data.austintexas.gov/api/views/9xdm-yhmb/metrics.json?start=1451606400000&end=1475539199999,1,1,4,4,,,,,9xdm-yhmb,,,,,,317,347
,2,,2,,,,https://data.austintexas.gov/d/h4as-bnn4,159,216,,0,,https://data.austintexas.gov/api/views/h4as-bnn4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,h4as-bnn4,,,,,,64,191
,,,,,1,1,https://data.austintexas.gov/d/dvu8-ztdx,254,260,,0,,https://data.austintexas.gov/api/views/dvu8-ztdx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,dvu8-ztdx,,,,,,397,457
,,,,,,,https://data.austintexas.gov/d/db24-fcaw,161,209,,0,,https://data.austintexas.gov/api/views/db24-fcaw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,db24-fcaw,,,,,,158,244
10,15,30,38,,,,https://data.austintexas.gov/d/cibe-gpzy,178,219,,0,,https://data.austintexas.gov/api/views/cibe-gpzy/metrics.json?start=1451606400000&end=1475539199999,,,,,11,11,2049,2127,cibe-gpzy,,,,,,122,204
,,,,,,,https://data.austintexas.gov/d/x64f-gjq4,168,200,,0,,https://data.austintexas.gov/api/views/x64f-gjq4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,x64f-gjq4,,2,,1,,137,231
,,,,,,,https://data.austintexas.gov/d/dcfk-vk6w,185,212,,0,,https://data.austintexas.gov/api/views/dcfk-vk6w/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,dcfk-vk6w,,,,,,299,383
,,,,,,,https://data.austintexas.gov/d/vwcu-h3qu,156,199,,1,,https://data.austintexas.gov/api/views/vwcu-h3qu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vwcu-h3qu,,,,,,128,251
,,,,,,,https://data.austintexas.gov/d/m9jn-qzir,146,206,1,2,,https://data.austintexas.gov/api/views/m9jn-qzir/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,m9jn-qzir,,,,,,95,213
,,,,,,,https://data.austintexas.gov/d/876d-75ye,139,164,,4,,https://data.austintexas.gov/api/views/876d-75ye/metrics.json?start=1451606400000&end=1475539199999,,3,39,77,,,,,876d-75ye,,,,,,70,157
,,,,,,,https://data.austintexas.gov/d/f4c7-5ivu,194,204,,0,,https://data.austintexas.gov/api/views/f4c7-5ivu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,f4c7-5ivu,,,,,,247,303
,,,,,,,https://data.austintexas.gov/d/sc6h-qr9f,332,338,15,15,,https://data.austintexas.gov/api/views/sc6h-qr9f/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,sc6h-qr9f,,,,,,736,749
,,,,,,,https://data.austintexas.gov/d/vykk-upaj,176,176,13,13,,https://data.austintexas.gov/api/views/vykk-upaj/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vykk-upaj,,,,,,526,529
,,,,,,,https://data.austintexas.gov/d/39mp-u93d,165,174,4,4,,https://data.austintexas.gov/api/views/39mp-u93d/metrics.json?start=1451606400000&end=1475539199999,2,2,,,,,,,39mp-u93d,,,,,,202,266
,,,,,,,https://data.austintexas.gov/d/gpeq-wpdt,140,140,18,18,,https://data.austintexas.gov/api/views/gpeq-wpdt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,gpeq-wpdt,,,,,,241,241
,,,,,,,https://data.austintexas.gov/d/567b-4d24,188,241,,0,,https://data.austintexas.gov/api/views/567b-4d24/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,567b-4d24,,,,,,123,235
,,,,,,,https://data.austintexas.gov/d/ykzu-pxxq,161,209,,0,,https://data.austintexas.gov/api/views/ykzu-pxxq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ykzu-pxxq,,,,,,144,253
,1,,,,,,https://data.austintexas.gov/d/8pvq-5pcm,160,209,,0,,https://data.austintexas.gov/api/views/8pvq-5pcm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8pvq-5pcm,,,,,,51,151
,,,,,,,https://data.austintexas.gov/d/aqaz-cxjw,347,356,,76,,https://data.austintexas.gov/api/views/aqaz-cxjw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,aqaz-cxjw,,,,,,67,172
,,,,,,,https://data.austintexas.gov/d/sbi4-ahzs,160,169,,0,,https://data.austintexas.gov/api/views/sbi4-ahzs/metrics.json?start=1451606400000&end=1475539199999,,2,,,,,,,sbi4-ahzs,,,,,,148,197
,,,,,,,https://data.austintexas.gov/d/86z9-i27i,254,260,,0,,https://data.austintexas.gov/api/views/86z9-i27i/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,86z9-i27i,1,3,358,470,,163,234
,,,,,,,https://data.austintexas.gov/d/yj9d-ajag,146,192,,2,,https://data.austintexas.gov/api/views/yj9d-ajag/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,yj9d-ajag,,,,,,136,227
,,,,,,,https://data.austintexas.gov/d/ux64-t7is,208,214,,0,,https://data.austintexas.gov/api/views/ux64-t7is/metrics.json?start=1451606400000&end=1475539199999,2,2,,,,,,,ux64-t7is,,,,,,597,626
,,,,,,,https://data.austintexas.gov/d/jtkc-5pgh,183,184,3,3,,https://data.austintexas.gov/api/views/jtkc-5pgh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jtkc-5pgh,,,,,,407,426
,1,,1,,,,https://data.austintexas.gov/d/sute-ma6h,165,220,,0,,https://data.austintexas.gov/api/views/sute-ma6h/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,sute-ma6h,,,,,,48,147
,,,,,,,https://data.austintexas.gov/d/tsum-aa7v,163,209,1,1,,https://data.austintexas.gov/api/views/tsum-aa7v/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tsum-aa7v,,,,,,150,242
,,,,,,,https://data.austintexas.gov/d/p9ma-z6y9,185,198,,1,,https://data.austintexas.gov/api/views/p9ma-z6y9/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p9ma-z6y9,,,,,,213,260
,,,,,,,https://data.austintexas.gov/d/9ii7-s3d7,135,135,,0,,https://data.austintexas.gov/api/views/9ii7-s3d7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9ii7-s3d7,,,,,,249,249
,,,,,,,https://data.austintexas.gov/d/gyp3-3bx3,151,156,,0,,https://data.austintexas.gov/api/views/gyp3-3bx3/metrics.json?start=1451606400000&end=1475539199999,2,2,,,,,,,gyp3-3bx3,,,,,,520,543
1,1,3,3,,,,https://data.austintexas.gov/d/k5hp-eece,270,283,2,2,,https://data.austintexas.gov/api/views/k5hp-eece/metrics.json?start=1451606400000&end=1475539199999,2,2,6,6,,,,,k5hp-eece,5,5,10,10,,304,350
,1,,,,,,https://data.austintexas.gov/d/2e3p-8zzy,163,174,,0,,https://data.austintexas.gov/api/views/2e3p-8zzy/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,2e3p-8zzy,,,,,,146,201
,,,,,,,https://data.austintexas.gov/d/9fd5-w7gd,139,139,252,256,,https://data.austintexas.gov/api/views/9fd5-w7gd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9fd5-w7gd,,,,,,318,333
,,,,,,,https://data.austintexas.gov/d/24ny-rxn5,104,104,,0,,https://data.austintexas.gov/api/views/24ny-rxn5/metrics.json?start=1451606400000&end=1475539199999,8,8,4,4,,,,,24ny-rxn5,2,2,5,5,,51,51
,1,,1,,,,https://data.austintexas.gov/d/74y5-wjkf,149,202,,0,,https://data.austintexas.gov/api/views/74y5-wjkf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,74y5-wjkf,,,,,,65,143
,5,4,10,,,,https://data.austintexas.gov/d/9e5g-zqyt,153,156,,0,,https://data.austintexas.gov/api/views/9e5g-zqyt/metrics.json?start=1451606400000&end=1475539199999,,3,,2,,,,,9e5g-zqyt,,,,,,115,157
,,,,,,,https://data.austintexas.gov/d/37zz-93tg,228,233,2,2,,https://data.austintexas.gov/api/views/37zz-93tg/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,37zz-93tg,,,,,,168,224
,,,,,,,https://data.austintexas.gov/d/8uvp-rwpt,135,180,,0,,https://data.austintexas.gov/api/views/8uvp-rwpt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8uvp-rwpt,,,,,,108,184
,,,,,,,https://data.austintexas.gov/d/wg4m-dfpc,161,161,247,251,,https://data.austintexas.gov/api/views/wg4m-dfpc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wg4m-dfpc,,,,,,393,408
,,,,,,,https://data.austintexas.gov/d/m4wb-q5fa,169,178,,0,,https://data.austintexas.gov/api/views/m4wb-q5fa/metrics.json?start=1451606400000&end=1475539199999,,2,,2,,,,,m4wb-q5fa,,,,,,170,213
,,,,,,,https://data.austintexas.gov/d/krg6-2bs5,193,205,,0,,https://data.austintexas.gov/api/views/krg6-2bs5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,krg6-2bs5,,,,,,115,170
,,,,,,,https://data.austintexas.gov/d/t9gx-rxwg,160,163,,0,,https://data.austintexas.gov/api/views/t9gx-rxwg/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,t9gx-rxwg,,4,,4,,551,606
,,,,,,,https://data.austintexas.gov/d/cuj8-q69v,178,178,,0,,https://data.austintexas.gov/api/views/cuj8-q69v/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cuj8-q69v,1,1,,,,312,314
,,,,,,,https://data.austintexas.gov/d/ctnk-wvxm,157,216,1,1,,https://data.austintexas.gov/api/views/ctnk-wvxm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ctnk-wvxm,,,,,,119,193
,,,,,,,https://data.austintexas.gov/d/5h9c-wmds,218,227,,0,,https://data.austintexas.gov/api/views/5h9c-wmds/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5h9c-wmds,,,,,,416,450
,3,,1,,,,https://data.austintexas.gov/d/ad4p-xsn6,140,141,,0,,https://data.austintexas.gov/api/views/ad4p-xsn6/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,ad4p-xsn6,,,,,,183,208
,1,,,,,,https://data.austintexas.gov/d/ydem-x7j5,160,200,,1,,https://data.austintexas.gov/api/views/ydem-x7j5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ydem-x7j5,,,,,,65,140
,1,,,,,,https://data.austintexas.gov/d/8ruh-ty5d,149,194,,0,,https://data.austintexas.gov/api/views/8ruh-ty5d/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8ruh-ty5d,,,,,,43,116
1,1,10,10,,,,https://data.austintexas.gov/d/kexg-4t6a,214,216,1,1,,https://data.austintexas.gov/api/views/kexg-4t6a/metrics.json?start=1451606400000&end=1475539199999,4,4,3,3,,,,,kexg-4t6a,,,,,,407,425
,1,,,,,,https://data.austintexas.gov/d/ps5c-8d86,149,194,,0,,https://data.austintexas.gov/api/views/ps5c-8d86/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ps5c-8d86,,,,,,67,129
,1,4,11,,,,https://data.austintexas.gov/d/8yfa-b3bq,147,178,,0,,https://data.austintexas.gov/api/views/8yfa-b3bq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8yfa-b3bq,,,,,,132,187
,,,,,,,https://data.austintexas.gov/d/692b-xsit,173,175,,0,,https://data.austintexas.gov/api/views/692b-xsit/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,692b-xsit,,,,,,155,188
,1,,,,,,https://data.austintexas.gov/d/eg8t-399m,152,195,,0,,https://data.austintexas.gov/api/views/eg8t-399m/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,eg8t-399m,,,,,,54,112
,,,,,,,https://data.austintexas.gov/d/vs6n-chuq,159,210,,0,,https://data.austintexas.gov/api/views/vs6n-chuq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vs6n-chuq,,,,,,86,141
7,7,,,,,,https://data.austintexas.gov/d/hjne-yn95,143,144,1,1,,https://data.austintexas.gov/api/views/hjne-yn95/metrics.json?start=1451606400000&end=1475539199999,,,,,6,6,1860,1977,hjne-yn95,,,,,,166,167
,,,,,,,https://data.austintexas.gov/d/pdfd-8tju,156,165,,0,,https://data.austintexas.gov/api/views/pdfd-8tju/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pdfd-8tju,,,,,,157,177
,,,,,,,https://data.austintexas.gov/d/h3kb-8atx,123,123,32,32,,https://data.austintexas.gov/api/views/h3kb-8atx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,h3kb-8atx,,,,,,297,301
,,,,,,,https://data.austintexas.gov/d/p4pj-6q8i,217,224,,0,,https://data.austintexas.gov/api/views/p4pj-6q8i/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p4pj-6q8i,,,,,,101,146
,1,,,,,,https://data.austintexas.gov/d/7kz2-qyez,148,181,,0,,https://data.austintexas.gov/api/views/7kz2-qyez/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7kz2-qyez,,,,,,72,123
,,,,,,,https://data.austintexas.gov/d/98zg-jkqu,224,237,,0,,https://data.austintexas.gov/api/views/98zg-jkqu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,98zg-jkqu,,,,,,237,280
,,,,,,,https://data.austintexas.gov/d/x4vz-3xdy,214,227,,0,,https://data.austintexas.gov/api/views/x4vz-3xdy/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,x4vz-3xdy,,,,,,122,155
,1,,,,,,https://data.austintexas.gov/d/3maj-7ecz,178,185,,0,,https://data.austintexas.gov/api/views/3maj-7ecz/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3maj-7ecz,,,,,,113,124
,1,,1,,,,https://data.austintexas.gov/d/7it9-7pjx,151,179,,0,,https://data.austintexas.gov/api/views/7it9-7pjx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7it9-7pjx,,,,,,61,114
,1,,,,,,https://data.austintexas.gov/d/up99-pfez,151,198,,0,,https://data.austintexas.gov/api/views/up99-pfez/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,up99-pfez,,,,,,72,120
,,,,,,,https://data.austintexas.gov/d/uizf-mcbc,190,199,,0,,https://data.austintexas.gov/api/views/uizf-mcbc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,uizf-mcbc,,,,,,183,215
,,,,,,,https://data.austintexas.gov/d/eyec-w6nz,166,175,,0,,https://data.austintexas.gov/api/views/eyec-w6nz/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,eyec-w6nz,,,,,,108,142
,1,,1,,,,https://data.austintexas.gov/d/y6ng-5ymj,162,168,,0,,https://data.austintexas.gov/api/views/y6ng-5ymj/metrics.json?start=1451606400000&end=1475539199999,,1,,1,,,,,y6ng-5ymj,,,,,,145,179
,1,,,,,,https://data.austintexas.gov/d/krsq-4num,149,182,,0,,https://data.austintexas.gov/api/views/krsq-4num/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,krsq-4num,,,,,,61,95
,,,,,,,https://data.austintexas.gov/d/37ft-tmhr,131,147,,0,,https://data.austintexas.gov/api/views/37ft-tmhr/metrics.json?start=1451606400000&end=1475539199999,,1,1,7,,,,,37ft-tmhr,,,,,,67,112
,1,,,,,,https://data.austintexas.gov/d/cu49-7a5a,161,196,,0,,https://data.austintexas.gov/api/views/cu49-7a5a/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cu49-7a5a,,,,,,62,103
3,4,,,,,,https://data.austintexas.gov/d/5nys-nsyc,175,175,3,3,,https://data.austintexas.gov/api/views/5nys-nsyc/metrics.json?start=1451606400000&end=1475539199999,,,,,4,4,792,817,5nys-nsyc,,,,,,136,147
,2,,,,,,https://data.austintexas.gov/d/dque-zfgd,148,183,,0,,https://data.austintexas.gov/api/views/dque-zfgd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,dque-zfgd,,,,,,41,83
,,,,,,,https://data.austintexas.gov/d/w8rr-4qky,158,163,4,5,,https://data.austintexas.gov/api/views/w8rr-4qky/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,w8rr-4qky,,,,,,112,133
,,,,,,,https://data.austintexas.gov/d/vzty-yezt,160,202,,0,,https://data.austintexas.gov/api/views/vzty-yezt/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vzty-yezt,,,,,,42,98
,,,,,,,https://data.austintexas.gov/d/cje8-pznp,175,182,,0,,https://data.austintexas.gov/api/views/cje8-pznp/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cje8-pznp,,,,,,82,103
,,,,,,,https://data.austintexas.gov/d/qunj-fzvx,190,204,,0,,https://data.austintexas.gov/api/views/qunj-fzvx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qunj-fzvx,,,,,,129,158
,,,,,,,https://data.austintexas.gov/d/3tiy-6kg3,168,175,5,5,,https://data.austintexas.gov/api/views/3tiy-6kg3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3tiy-6kg3,,,,,,87,118
,1,,,,,,https://data.austintexas.gov/d/rtwz-6ypq,141,176,,0,,https://data.austintexas.gov/api/views/rtwz-6ypq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,rtwz-6ypq,,,,,,73,107
,1,,,,,,https://data.austintexas.gov/d/v7ft-5zy3,145,183,,0,,https://data.austintexas.gov/api/views/v7ft-5zy3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,v7ft-5zy3,,,,,,56,95
,1,,,,,,https://data.austintexas.gov/d/9ejy-j7t5,152,188,,0,,https://data.austintexas.gov/api/views/9ejy-j7t5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9ejy-j7t5,,,,,,67,107
,1,,,,,,https://data.austintexas.gov/d/tb3x-mddn,153,185,,0,,https://data.austintexas.gov/api/views/tb3x-mddn/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tb3x-mddn,,,,,,45,89
,,,,,,,https://data.austintexas.gov/d/7pv3-htyn,171,183,,0,,https://data.austintexas.gov/api/views/7pv3-htyn/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7pv3-htyn,,,,,,88,124
,1,,,,,,https://data.austintexas.gov/d/pzre-m4ee,144,175,,0,,https://data.austintexas.gov/api/views/pzre-m4ee/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pzre-m4ee,,,,,,47,86
,,,,,,,https://data.austintexas.gov/d/eff2-t5tb,163,164,,0,,https://data.austintexas.gov/api/views/eff2-t5tb/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,eff2-t5tb,1,1,,,,200,203
,,,,,,,https://data.austintexas.gov/d/8ih9-dnxa,184,191,3,3,,https://data.austintexas.gov/api/views/8ih9-dnxa/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8ih9-dnxa,,,,,,124,141
,1,,,,,,https://data.austintexas.gov/d/7xxy-upkf,137,166,,0,,https://data.austintexas.gov/api/views/7xxy-upkf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7xxy-upkf,,,,,,38,82
,,,,,,,https://data.austintexas.gov/d/ba4t-mrbm,159,209,,0,,https://data.austintexas.gov/api/views/ba4t-mrbm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ba4t-mrbm,,,,,,53,103
,1,,,,,,https://data.austintexas.gov/d/k4zx-bu88,134,179,,0,,https://data.austintexas.gov/api/views/k4zx-bu88/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,k4zx-bu88,,,,,,58,97
,1,,,,,,https://data.austintexas.gov/d/kwy8-mxxs,137,164,,0,,https://data.austintexas.gov/api/views/kwy8-mxxs/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,kwy8-mxxs,,,,,,73,106
,,,,,,,https://data.austintexas.gov/d/hetr-8wqd,193,195,3,3,,https://data.austintexas.gov/api/views/hetr-8wqd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,hetr-8wqd,,,,,,176,196
,,,,,,,https://data.austintexas.gov/d/jji9-e2m5,164,176,3,3,,https://data.austintexas.gov/api/views/jji9-e2m5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jji9-e2m5,,,,,,103,135
,1,,,,,,https://data.austintexas.gov/d/kpdv-fdxg,140,167,,0,,https://data.austintexas.gov/api/views/kpdv-fdxg/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,kpdv-fdxg,,,,,,44,80
,1,,,,,,https://data.austintexas.gov/d/8jjf-bejx,159,186,,4,,https://data.austintexas.gov/api/views/8jjf-bejx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8jjf-bejx,,,,,,53,88
,,,,,,,https://data.austintexas.gov/d/un2z-dfva,151,160,2,2,,https://data.austintexas.gov/api/views/un2z-dfva/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,un2z-dfva,,,,,,95,123
,,,,,,,https://data.austintexas.gov/d/2b2e-w4kf,159,163,3,3,,https://data.austintexas.gov/api/views/2b2e-w4kf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,2b2e-w4kf,,,,,,133,155
,,,,,,,https://data.austintexas.gov/d/btjx-7fri,163,166,,0,,https://data.austintexas.gov/api/views/btjx-7fri/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,btjx-7fri,,,,,,91,113
,,,,,,,https://data.austintexas.gov/d/ewqz-mrzs,186,190,2,2,,https://data.austintexas.gov/api/views/ewqz-mrzs/metrics.json?start=1451606400000&end=1475539199999,3,3,9,9,,,,,ewqz-mrzs,,,,,,243,257
,1,1,1,,,,https://data.austintexas.gov/d/xtim-9ehs,159,162,,0,,https://data.austintexas.gov/api/views/xtim-9ehs/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xtim-9ehs,,,,,,118,137
,,,,,,,https://data.austintexas.gov/d/drnt-j5qy,158,203,,0,,https://data.austintexas.gov/api/views/drnt-j5qy/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,drnt-j5qy,,,,,,58,101
,1,,,,,,https://data.austintexas.gov/d/9w5t-cuk2,159,175,,0,,https://data.austintexas.gov/api/views/9w5t-cuk2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,9w5t-cuk2,,,,,,61,93
,,,,,,,https://data.austintexas.gov/d/5j2i-tq4k,251,258,,0,,https://data.austintexas.gov/api/views/5j2i-tq4k/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5j2i-tq4k,,,,,,107,128
,,,,,,,https://data.austintexas.gov/d/pbam-er2r,170,177,,0,,https://data.austintexas.gov/api/views/pbam-er2r/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pbam-er2r,,,,,,95,120
,,,,,,,https://data.austintexas.gov/d/4sv9-5zm8,145,187,,0,,https://data.austintexas.gov/api/views/4sv9-5zm8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4sv9-5zm8,,,,,,52,101
,1,,,,,,https://data.austintexas.gov/d/bw6v-aead,149,179,,0,,https://data.austintexas.gov/api/views/bw6v-aead/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,bw6v-aead,,,,,,49,86
,,,,,,,https://data.austintexas.gov/d/fytz-zuei,157,161,,0,,https://data.austintexas.gov/api/views/fytz-zuei/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fytz-zuei,,,,,,80,107
,1,,,,,,https://data.austintexas.gov/d/wtyt-mpzf,148,171,,0,,https://data.austintexas.gov/api/views/wtyt-mpzf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wtyt-mpzf,,,,,,43,71
,1,,,,,,https://data.austintexas.gov/d/itfg-ism7,143,169,,0,,https://data.austintexas.gov/api/views/itfg-ism7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,itfg-ism7,,,,,,59,87
,1,,,,,,https://data.austintexas.gov/d/nqv2-nbrj,142,169,,0,,https://data.austintexas.gov/api/views/nqv2-nbrj/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,nqv2-nbrj,,,,,,46,79
