charts-created,charts-created-total,charts-deleted,charts-deleted-total,code,comments-created,comments-created-total,dataset_page_url,downloads,downloads-total,embeds,embeds-total,error,fetched_url,filters-created,filters-created-total,filters-deleted,filters-deleted-total,govstat-metrics-using,govstat-metrics-using-total,govstat-total-computes,govstat-total-computes-total,id,maps-created,maps-created-total,maps-deleted,maps-deleted-total,message,visits,visits-total
,,,,,,,https://data.austintexas.gov/d/qwjz-np8k,139,176,1360,3163,,https://data.austintexas.gov/api/views/qwjz-np8k/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qwjz-np8k,,,,,,1448,3336
,,,,,,,https://data.austintexas.gov/d/kumu-nbtd,338,520,690,1739,,https://data.austintexas.gov/api/views/kumu-nbtd/metrics.json?start=1451606400000&end=1475539199999,,1,40,193,,,,,kumu-nbtd,,,,,,1697,3415
,,,,,,,https://data.austintexas.gov/d/bqav-9x6a,283,963,75,82,,https://data.austintexas.gov/api/views/bqav-9x6a/metrics.json?start=1451606400000&end=1475539199999,1,1,15,15,,,,,bqav-9x6a,,2,88,546,,553,2735
,1,,48,,,1,https://data.austintexas.gov/d/84ih-p28j,246,690,18,44,,https://data.austintexas.gov/api/views/84ih-p28j/metrics.json?start=1451606400000&end=1475539199999,,1,,1,,,,,84ih-p28j,,,,,,669,2773
,,,,,,,https://data.austintexas.gov/d/qe89-agqj,264,392,1473,2760,,https://data.austintexas.gov/api/views/qe89-agqj/metrics.json?start=1451606400000&end=1475539199999,,8,,14,,,,,qe89-agqj,,,,,,1817,3371
,,,,,,,https://data.austintexas.gov/d/5tx2-pk4n,175,329,4,26,,https://data.austintexas.gov/api/views/5tx2-pk4n/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,5tx2-pk4n,,,,,,549,2546
,,,,,,,https://data.austintexas.gov/d/ec78-i9z5,185,294,174,750,,https://data.austintexas.gov/api/views/ec78-i9z5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ec78-i9z5,,,,,,346,1186
,,,,,,,https://data.austintexas.gov/d/pxe3-na7s,189,329,16,46,,https://data.austintexas.gov/api/views/pxe3-na7s/metrics.json?start=1451606400000&end=1475539199999,,2,8,31,,,,,pxe3-na7s,,,,,,598,2304
1,1,,,,,,https://data.austintexas.gov/d/g5k8-8sud,251,435,24,43,,https://data.austintexas.gov/api/views/g5k8-8sud/metrics.json?start=1451606400000&end=1475539199999,1,4,,3,,,,,g5k8-8sud,,,,,,880,2131
,,,,,1,2,https://data.austintexas.gov/d/hjeh-idye,258,692,74,134,,https://data.austintexas.gov/api/views/hjeh-idye/metrics.json?start=1451606400000&end=1475539199999,1,2,,,,,,,hjeh-idye,,,,,,1090,2028
